都道府県コード又は市区町村コード,No,都道府県名,市区町村名,名称,住所,経度,緯度,車椅子使用者トイレ有無,乳幼児用設備設置トイレ有無,オストメイトトイレ設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,施設種類
"132,098",147,東京都,町田市,研修農場バイオトイレ,町田市小野路町282-2,139.4352231,35.59717827,無,,無,,,"4月～9月 8:00～18:00 10,11,3月 8:00～'17:00　12月～2月 8:00～16:00",公共施設トイレ
"132,098",148,東京都,町田市,小野路町バイオトイレ（馬場）,町田市小野路町770番1内,139.4337402,35.60030062,無,,無,,,3月～11月 8:00～'17:00　12月～2月 8:00～16:00,公共施設トイレ
"132,098",149,東京都,町田市,小野路宿里山交流館,町田市小野路町888-1,139.4385311,35.59827355,有,有,有,9:00,17:00,12月29日～1月3日休み。おむつ替えベッド有,公共施設トイレ
"132,098",150,東京都,町田市,小野路公園①（管理棟内）,町田市小野路町2023-1,139.4538011,35.59807168,有,,有,8:30,21:00,有料試合時は開放制限あり,公共施設トイレ
"132,098",151,東京都,町田市,小野路公園②（球場脇）,町田市小野路町2023-1,139.4543465,35.59778782,有,有,有,8:30,21:00,有料試合時は開放制限あり,公共施設トイレ
"132,098",152,東京都,町田市,小野路公園③（野球場観覧席棟内）,町田市小野路町2023-1,139.4547295,35.59773085,有,,有,,,野球場利用時　有料試合時は開放制限有り,公共施設トイレ
"132,098",153,東京都,町田市,小野路公園④（グラウンド内）,町田市小野路町2023-1,139.4547156,35.59818207,有,,有,8:30,21:00,有料試合時は開放制限あり,公共施設トイレ
"132,098",154,東京都,町田市,真光寺公園,町田市真光寺2-2-1,139.465798,35.60865785,有,有,無,,,8:00～'17:30　6～8月 8:00～19:00,公共施設トイレ
"132,098",155,東京都,町田市,広袴公園,町田市広袴3-4-1,139.4752811,35.59591838,有,有,無,8:00,17:30,,公共施設トイレ
"132,098",156,東京都,町田市,山王塚公園,町田市薬師台3-3-20,139.4533588,35.58210824,無,有,無,0:00,23:59,,公共施設トイレ
"132,098",158,東京都,町田市,わくわくプラザ町田,町田市森野1-1-15,139.4426539,35.54256943,有,,無,8:30,17:00,毎週月曜日、毎月第三日曜日、年末年始（12月28日～1月3日休み。,公共施設トイレ
"132,098",159,東京都,町田市,町田市役所市庁舎,町田市森野2-2-22,139.4386545,35.54669228,有,有,有,8:30,17:00,土曜日・日曜日（第1・第3・第5）祝日、12月29日～1月3日休み,公共施設トイレ
"132,098",160,東京都,町田市,町田市民ホール,町田市森野2-2-36,139.439526,35.54646742,有,,無,9:00,22:00,第1・第3月曜日、年末年始休み。,公共施設トイレ
"132,098",161,東京都,町田市,木曽森野防災市民いこいの広場,町田市森野4-8,139.4326685,35.55527785,有,,無,8:00,17:30,,公共施設トイレ
"132,098",163,東京都,町田市,町田シバヒロ,町田市中町1-375-4,139.447122,35.54822334,有,有,有,,,3月～6月9：00～18：00　7月～9月8：00～19：00 10月9：00～18：00　11月～2月9：00～'17:00　※不定休,公共施設トイレ
"132,098",164,東京都,町田市,さるびあ図書館,町田市中町2-13-23,139.4441454,35.55136772,有,,無,,,火・水・金 10:00～18:00木・土・日・祝 10:00～'17:00　月曜日・第2木曜日休み,公共施設トイレ
"132,098",165,東京都,町田市,町田市保健所,町田市中町2-13-3,139.4437069,35.55121958,有,有,無,8:30,17:00,土曜日・日曜日・祝日休み,公共施設トイレ
"132,098",166,東京都,町田市,原町田一丁目駐車場,町田市原町田1-6-21,139.4475692,35.54050928,有,,,9:00,17:00,,公共施設トイレ
"132,098",167,東京都,町田市,原町田青空ひろば,町田市原町田1-27,139.4491748,35.5369899,有,有,無,,,8:30～17:30　6～8月 8:30～18:30,公共施設トイレ
"132,098",168,東京都,町田市,町田ターミナルプラザ,町田市原町田3-1-4,139.4492485,35.54035593,有,有,有,5:30,23:30,管理棟併設多目的シート（おむつ替え等）有,公共施設トイレ
"132,098",169,東京都,町田市,中央図書館,町田市原町田3-2-9,139.4501544,35.5403913,有,有,有,,,火・水・金 10:00～20:00　木・土・日・祝 10:00～'17:00　月曜日・第2木曜日休み。,公共施設トイレ
"132,098",170,東京都,町田市,町田市文化交流センター,町田市原町田4-1-14,139.4481321,35.54093763,有,,無,9:00,22:00,1/1休み。臨時休館日あり（年末年始等）,公共施設トイレ
"132,098",171,東京都,町田市,町田市民フォーラム,町田市原町田4-9-8,139.4499238,35.54174822,有,有,無,8:30,22:00,第3水曜日定休日。ベビーシート、ベビーチェア有車椅子トイレは3・4Fに各2室設置。,公共施設トイレ
"132,098",172,東京都,町田市,町田市民文学館ことばらんど,町田市原町田4-16-17,139.4515229,35.54259031,有,有,有,9:00,22:00,月曜日・第2木曜日休み、※新型コロナウイルス感染拡大防止のため、当面の間、夜間の利用時間は21：00まで,公共施設トイレ
"132,098",173,東京都,町田市,町田市せりがや会館,町田市原町田4-26-4,139.4531667,35.54450784,有,,無,8:30,21:00,定休日：第3日曜日,公共施設トイレ
"132,098",174,東京都,町田市,国際版画美術館,町田市原町田4-28-1,139.4553386,35.54401651,有,,無,,,火・水・木・金 10:00～'17:00　土・日・祝 10:00～'17:30　月曜日定休日,公共施設トイレ
"132,098",175,東京都,町田市,芹ヶ谷公園（小田急線側）,町田市原町田5-1679,139.4511683,35.54834149,有,有,無,,,6:00～18:00　6月～8月 6:00～19:00,公共施設トイレ
"132,098",176,東京都,町田市,芹ヶ谷公園（多目的広場）,町田市原町田5-1679,139.4539212,35.54626132,有,,無,,,6:00～18:00　6月～8月 6:00～19:00,公共施設トイレ
"132,098",177,東京都,町田市,健康福祉会館,町田市原町田5-8-21,139.4499542,35.54609523,有,有,有,9:00,22:00,年末年始休業日あり　　　　　　　　　　　　　　　　　　　　　　　　　　　・ベビーシート、大人用ベット、ベビーチェアあり　　　　　　　　　　　　　　,公共施設トイレ
"132,098",178,東京都,町田市,町田駅前公共トイレ,町田市原町田6-1-11ルミネ町田脇,139.4464663,35.54184621,有,,無,6:30,23:00,利用時間以外は閉鎖,公共施設トイレ
"132,098",179,東京都,町田市,生涯学習センター,町田市原町田6-8-1,139.4471666,35.54297405,有,有,無,9:00,22:00,第4月曜日休み,公共施設トイレ
"132,098",180,東京都,町田市,原町田わかば公園,町田市原町田6-27-3,139.4482203,35.54541891,有,有,無,6:30,23:00,,公共施設トイレ
"132,098",182,東京都,町田市,南大谷公園,町田市南大谷1104－1,139.4626898,35.55026735,有,有,有,,,6:00～17:30　6月～8月 6:00～18:30,公共施設トイレ
"132,098",183,東京都,町田市,成瀬コミュニティセンター,町田市西成瀬2-49-1,139.4727757,35.54353038,有,有,有,8:00,22:00,第2火曜日休み。ベビーシート・ベビーチェア有。車椅子トイレは増築棟1・2Fに各1室設置。オストメイトは増築棟1Fに設置。,公共施設トイレ
"132,098",184,東京都,町田市,成瀬弁天橋公園,町田市成瀬8-2045,139.4693299,35.54278613,有,有,無,,,6:00～17:30　6月～8月 6:00～18:30,公共施設トイレ
"132,098",185,東京都,町田市,成瀬駅北口駅前広場公共トイレ,町田市南成瀬1-1,139.4730628,35.53556167,有,,有,7:00,22:30,利用時間以外は閉鎖,公共施設トイレ
"132,098",186,東京都,町田市,なるせ駅前市民センター,町田市南成瀬1-2-5,139.4730256,35.53682154,有,,有,8:00,22:00,,公共施設トイレ
"132,098",187,東京都,町田市,堂之坂公苑,町田市南成瀬5-8,139.4769298,35.53623535,有,有,無,,,8:30～'17:30　6～8月 8:30～19:00,公共施設トイレ
